state,cluster
Illinois,0
New York,0
Ohio,0
Pennsylvania,0
Alabama,1
Alaska,1
Arizona,1
Arkansas,1
California,1
Colorado,1
Connecticut,1
Delaware,1
Florida,1
Georgia,1
Hawaii,1
Idaho,1
Indiana,1
Iowa,1
Kansas,1
Kentucky,1
Louisiana,1
Maine,1
Maryland,1
Massachusetts,1
Michigan,1
Minnesota,1
Mississippi,1
Missouri,1
Montana,1
Nebraska,1
Nevada,1
New Hampshire,1
New Jersey,1
New Mexico,1
North Carolina,1
North Dakota,1
Oklahoma,1
Oregon,1
Rhode Island,1
South Carolina,1
South Dakota,1
Tennessee,1
Texas,1
Utah,1
Vermont,1
Virginia,1
Washington,1
West Virginia,1
Wisconsin,1
Wyoming,1
